ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ïƒçëäîéÆÅiÇrÅïÇoÇTÇOÇOÅj,,,,
äÓèÄì˙,äÓèÄâøäz,äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj,ï™îzã‡(ê≈à¯ëO),èÉéëéY(â≠â~)
2019/2/7,10047,10047,,117.42
2019/2/8,9945,9945,,116.62
2019/2/12,10026,10026,,118.43
2019/2/13,10156,10156,,120.32
2019/2/14,10227,10227,,122.06
2019/2/15,10153,10153,,121.9
2019/2/18,10274,10274,,123.61
2019/2/19,10273,10273,,124.44
2019/2/20,10309,10309,,124.88
2019/2/21,10325,10325,,125.77
2019/2/22,10296,10296,,125.72
2019/2/25,10363,10363,,126.83
2019/2/26,10398,10398,,128.15
2019/2/27,10350,10350,,128.57
2019/2/28,10372,10372,,130.11
2019/3/1,10408,10408,,131.39
2019/3/4,10526,10526,,133.74
2019/3/5,10474,10474,,135.18
2019/3/6,10447,10447,,135.91
2019/3/7,10373,10373,,135.68
2019/3/8,10282,10282,,134.93
2019/3/11,10203,10203,,134.16
2019/3/12,10401,10401,,136.61
2019/3/13,10415,10415,,137.69
2019/3/14,10488,10488,,139.75
2019/3/15,10543,10543,,140.86
2019/3/18,10562,10562,,141.51
2019/3/19,10578,10578,,142.47
2019/3/20,10608,10608,,143.5
2019/3/22,10604,10604,,144.13
2019/3/25,10326,10326,,140.97
2019/3/26,10346,10346,,141.7
2019/3/27,10450,10450,,143.37
2019/3/28,10386,10386,,143.3
2019/3/29,10484,10484,,145.57
2019/4/1,10565,10565,,147.2
2019/4/2,10721,10721,,149.65
2019/4/3,10728,10728,,152.54
2019/4/4,10754,10754,,153.15
2019/4/5,10804,10804,,154.53
2019/4/8,10818,10818,,154.66
2019/4/9,10827,10827,,155.53
2019/4/10,10743,10743,,155.4
2019/4/11,10773,10773,,156.32
2019/4/12,10840,10840,,158.18
2019/4/15,10934,10934,,160.53
2019/4/16,10925,10925,,161.56
2019/4/17,10944,10944,,163.59
2019/4/18,10910,10910,,164.91
2019/4/19,10925,10925,,165.83
2019/4/22,10923,10923,,166.22
2019/4/23,10922,10922,,166.2
2019/4/24,11027,11027,,169.38
2019/4/25,11035,11035,0,170.1
2019/4/26,10989,10989,,169.95
2019/5/7,10900,10900,,167.6
2019/5/8,10675,10675,,164.76
2019/5/9,10640,10640,,168.7
2019/5/10,10595,10595,,170.39
2019/5/13,10626,10626,,171.62
2019/5/14,10340,10340,,167.61
2019/5/15,10443,10443,,170.81
2019/5/16,10495,10495,,172.87
2019/5/17,10638,10638,,177.08
2019/5/20,10593,10593,,177.41
2019/5/21,10522,10522,,177.49
2019/5/22,10646,10646,,180.91
2019/5/23,10591,10591,,180.87
2019/5/24,10416,10416,,179.84
2019/5/27,10408,10408,,182.21
2019/5/28,10415,10415,,183.59
