1,アップル,7.1,#f44336
2,エヌビディア,5.9,#e91e63
3,マイクロソフト,5.8,#9c27b0
4,アマゾン,3.9,#673ab7
5,メタ,2.9,#3f51b5
6,アルファベットEA,2,#2196f3
7,バークシャー・ハサウェイ,1.8,#03a9f4
8,ブロードコム,1.8,#00bcd4
9,テスラ,1.6,#009688
10,アルファベットEC,1.6,#4caf50
11,others,65.6,#8bc34a
